week,week_start,week_end,team,opponent,H,AB,R,HR,RBI,SB,AVG,OPS,OPS_WEIGHT,IP,SV,K,ERA,WHIP,KBB,QS
1,2026-03-25,2026-03-29,STANTONIOUS,Maestro Max,47,148,27,7,22,3,0.318,0.927,164.444444,32.0,1,37,6.75,1.75,1.95,1
1,2026-03-25,2026-03-29,Maestro Max,STANTONIOUS,31,136,19,4,15,6,0.228,0.679,151.111111,43.1,2,66,3.12,1.34,2.54,1
1,2026-03-25,2026-03-29,Andrethegiant,The Big Kahuna,22,108,13,1,8,6,0.204,0.593,120.0,36.0,3,36,4.75,1.22,3.27,1
1,2026-03-25,2026-03-29,The Big Kahuna,Andrethegiant,33,159,28,5,21,4,0.208,0.677,176.666667,44.2,4,60,3.43,1.1,4.0,4
1,2026-03-25,2026-03-29,NY ZOHRAN 🔥,Vaterlaus,38,141,20,6,21,2,0.27,0.786,156.666667,62.0,2,62,4.79,1.34,4.43,3
1,2026-03-25,2026-03-29,Vaterlaus,NY ZOHRAN 🔥,34,133,17,5,15,1,0.256,0.778,147.777778,43.0,1,56,3.98,1.05,5.09,1
1,2026-03-25,2026-03-29,Bleacherboysfan1,Springers Dingers,36,144,23,10,24,2,0.25,0.819,160.0,48.2,0,51,4.44,1.38,2.68,3
1,2026-03-25,2026-03-29,Springers Dingers,Bleacherboysfan1,26,138,11,3,11,2,0.188,0.562,153.333333,44.2,3,44,3.02,1.12,2.59,3
2,2026-03-30,2026-04-05,Maestro Max,The Big Kahuna,71,248,38,8,41,1,0.286,0.815,275.555556,83.0,7,100,2.49,1.04,3.33,11
2,2026-03-30,2026-04-05,The Big Kahuna,Maestro Max,59,242,31,7,26,3,0.244,0.695,268.888889,60.0,3,62,4.35,1.22,2.82,1
2,2026-03-30,2026-04-05,STANTONIOUS,Bleacherboysfan1,57,243,25,5,23,4,0.235,0.703,270.0,84.2,1,85,3.72,1.29,2.66,5
2,2026-03-30,2026-04-05,Bleacherboysfan1,STANTONIOUS,57,262,36,8,32,1,0.218,0.636,291.111111,85.2,1,70,2.0,1.0,2.59,6
2,2026-03-30,2026-04-05,Springers Dingers,Vaterlaus,62,246,35,10,30,8,0.252,0.809,273.333333,64.1,3,64,4.48,1.48,2.13,3
2,2026-03-30,2026-04-05,Vaterlaus,Springers Dingers,61,243,48,14,52,6,0.251,0.872,270.0,90.2,0,93,2.78,0.96,3.21,9
2,2026-03-30,2026-04-05,Andrethegiant,NY ZOHRAN 🔥,50,234,27,5,26,3,0.214,0.654,260.0,62.1,5,65,3.32,1.06,2.6,1
2,2026-03-30,2026-04-05,NY ZOHRAN 🔥,Andrethegiant,57,252,38,11,36,10,0.226,0.749,280.0,67.1,5,72,2.81,0.95,2.67,10
